2004/01,"8,627,254"
2004/02,"9,318,221"
2004/03,"9,779,445"
2004/04,"12,065,303"
2004/05,"11,141,908"
2004/06,"10,700,866"
2004/07,"7,880,158"
2004/08,"7,771,114"
2004/09,"8,943,726"
2004/10,"12,006,404"
2004/11,"10,249,925"
2004/12,"11,223,736"
2005/01,"11,030,428"
2005/02,"10,291,627"
2005/03,"14,417,185"
2005/04,"10,150,470"
2005/05,"9,936,253"
2005/06,"12,094,466"
2005/07,"13,355,448"
2005/08,"15,171,343"
2005/09,"16,139,571"
2005/10,"16,080,061"
2005/11,"17,771,854"
2005/12,"16,266,359"
2006/01,"19,603,769"
2006/02,"19,037,979"
2006/03,"19,692,021"
2006/04,"18,707,269"
2006/05,"22,803,456"
2006/06,"22,036,075"
2006/07,"15,729,669"
2006/08,"17,893,084"
2006/09,"16,764,451"
2006/10,"16,955,417"
2006/11,"19,507,352"
2006/12,"15,999,221"
2007/01,"19,609,352"
2007/02,"20,999,687"
2007/03,"19,874,091"
2007/04,"20,894,257"
2007/05,"25,447,316"
2007/06,"33,982,971"
2007/07,"35,205,432"
2007/08,"37,177,856"
2007/09,"23,452,638"
2007/10,"42,235,475"
2007/11,"41,526,380"
2007/12,"25,218,501"
2008/01,"37,292,781"
2008/02,"22,912,196"
2008/03,"29,434,026"
2008/04,"32,179,868"
2008/05,"30,139,875"
2008/06,"27,483,787"
2008/07,"33,287,766"
2008/08,"25,549,282"
2008/09,"37,958,962"
2008/10,"34,257,888"
2008/11,"18,955,542"
2008/12,"14,445,774"
2009/01,"13,640,886"
2009/02,"14,639,668"
2009/03,"17,997,699"
2009/04,"19,017,115"
2009/05,"21,003,127"
2009/06,"20,349,314"
2009/07,"20,037,244"
2009/08,"20,184,954"
2009/09,"26,524,952"
2009/10,"24,712,446"
2009/11,"17,638,776"
2009/12,"17,497,194"
2010/01,"24,808,697"
2010/02,"17,666,894"
2010/03,"19,283,481"
2010/04,"23,123,298"
2010/05,"29,573,685"
2010/06,"20,575,632"
2010/07,"20,425,182"
2010/08,"20,321,259"
2010/09,"22,082,524"
2010/10,"26,058,609"
2010/11,"28,631,000"
2010/12,"21,206,706"
2011/01,"27,302,011"
2011/02,"25,368,580"
2011/03,"27,450,425"
2011/04,"28,372,825"
2011/05,"32,012,365"
2011/06,"26,720,346"
2011/07,"25,664,480"
2011/08,"35,247,462"
2011/09,"22,783,128"
2011/10,"20,733,082"
2011/11,"24,498,538"
2011/12,"19,944,845"
2012/01,"21,566,155"
2012/02,"26,401,720"
2012/03,"24,101,047"
2012/04,"21,447,049"
2012/05,"27,703,014"
2012/06,"20,746,033"
2012/07,"21,181,280"
2012/08,"20,214,179"
2012/09,"18,776,671"
2012/10,"21,701,649"
2012/11,"23,146,742"
2012/12,"18,952,251"
2013/01,"28,294,682"
2013/02,"20,153,433"
2013/03,"24,106,008"
2013/04,"26,683,373"
2013/05,"25,205,363"
2013/06,"27,770,199"
2013/07,"21,903,936"
2013/08,"19,244,860"
2013/09,"19,759,800"
2013/10,"23,095,151"
2013/11,"22,420,480"
2013/12,"21,232,514"
2014/01,"25,568,791"
2014/02,"23,571,379"
2014/03,"23,145,326"
2014/04,"22,409,678"
2014/05,"21,371,040"
2014/06,"21,864,535"
2014/07,"22,895,823"
2014/08,"23,182,752"
2014/09,"24,875,922"
2014/10,"29,987,930"
2014/11,"26,299,999"
2014/12,"23,922,753"
2015/01,"26,086,227"
2015/02,"20,653,987"
2015/03,"27,854,324"
2015/04,"29,071,537"
2015/05,"26,259,026"
2015/06,"32,647,817"
2015/07,"34,312,296"
2015/08,"33,728,858"
2015/09,"28,610,999"
2015/10,"29,235,632"
2015/11,"28,434,322"
2015/12,"23,393,824"
2016/01,"27,487,643"
2016/02,"24,218,744"
2016/03,"26,293,182"
2016/04,"23,767,626"
2016/05,"27,486,884"
2016/06,"29,000,878"
2016/07,"23,109,774"
2016/08,"26,648,931"
2016/09,"23,324,125"
2016/10,"28,571,019"
2016/11,"32,179,371"
2016/12,"23,346,364"
2017/01,"24,542,901"
2017/02,"30,797,655"
2017/03,"35,436,312"
2017/04,"29,069,392"
2017/05,"37,391,034"
2017/06,"36,238,912"
2017/07,"32,390,453"
2017/08,"34,885,371"
2017/09,"36,060,787"
2017/10,"28,083,552"
2017/11,"39,441,954"
2017/12,"31,547,787"
2018/01,"40,268,262"
2018/02,"36,673,778"
2018/03,"38,181,944"
2018/04,"38,201,043"
2018/05,"44,684,052"
2018/06,"39,362,755"
2018/07,"33,459,005"
2018/08,"30,377,712"
